name,definition,clinical_stage
Apoptosis Assay,,PRECLINICAL
Electrophoretic Mobility Shift Assay (EMSA),"Studying DNA-protein, RNA-protein, or protein-protein interactions for analysis of binding specificity and affinity",PRECLINICAL
Infectious Wound Screening,"Analysis of wound samples to identify infectious agents and assess the presence of pathogens, aiding in the diagnosis and treatment of infected wounds.",CLINICAL
Antibiotic Resistance Testing,"Tests to determine the resistance of bacteria to various antibiotics, helping to guide effective treatment strategies and combat antibiotic-resistant infections.",BOTH
Chemical Process Development,"Development and optimization of efficient, safe, and environmentally friendly chemical processes",PRECLINICAL
Population Pharmacokinetics,Analysis of PK data from different populations to understand variability in drug responses,CLINICAL
Life Sciences Consulting and Advisory Services,,BOTH
Mechanical Testing,,BOTH
SEM-EDS Analysis,,BOTH
Physico-chemical Property Testing,"Including Thermal Gravimetric Analysis (TGA), Mercury Porosimetry (HgP), Surface Area & Porosity (BET), Melting Point (MP), Flash Point (FP), Coupon Corrosivity (CORR), Viscosity (VISC), Laser Light Scattering (LLS), Dynamic Vapor Sorption (DVS)",BOTH
In Vitro Gene Therapy Studies,Evaluating the efficacy and safety of the gene therapy candidate in cells,PRECLINICAL
Women’s Health,,CLINICAL
Nanoparticle Toxicity Panel Testing,,PRECLINICAL
Bioanalytical Testing,Quantitative analysis of drugs and their metabolites in biological samples,BOTH
Frozen Sectioning,Rapid preparation of tissue sections for immediate diagnosis or analysis,CLINICAL
Zebrafish Models,Increasingly popular for genetic and developmental studies.,PRECLINICAL
Analytical Method Development and Method Transfer,"The creation and validation of analytical techniques for testing product quality and performance, and the transfer of these methods between laboratories or production sites to ensure consistency and reliability.",BOTH
Sterilization,"The process of eliminating all forms of microbial life from equipment, surfaces, or materials to ensure a sterile environment and prevent contamination.",BOTH
Bacterial Biobanking,"The preservation and storage of bacterial strains and cultures, providing a resource for studying microbial genetics, antibiotic resistance, and other bacterial behaviors.",PRECLINICAL
Retrovirus Vector Production and Packaging,Development and purification of retroviral vectors and packaging of cargo into retrovirus,BOTH
Wet Chemistry,"Content Uniformity (UV), pH, Viscosity, Specific gravity, Conductivity, Water (I), Karl Fisher Moisture (KF), Total Organic Carbon (TOC), Ion Selective Electrode Analysis (ISE), Total Carbon (TC)",PRECLINICAL
BSL-4 Laboratory Capabilities,"Facilities designed for the highest level of biological containment, enabling the safe study and handling of highly dangerous and exotic pathogens that pose a high risk of aerosol-transmitted infections and for which there are no available vaccines or treatments.",PRECLINICAL
Mass Spectrometry-Based Metabolomics,Use of LC-MS (Liquid Chromatography-Mass Spectrometry) and GC-MS (Gas Chromatography-Mass Spectrometry) for high-throughput metabolite profiling,PRECLINICAL
Microbial Limit Tests,"Quality control testing assessing the microbial contamination of pharmaceutical products, medical devices, and other sterile environments",PRECLINICAL
Ecotoxicology,"Testing the impact of chemicals on ecosysstems, wildlife, and various species, including fish, birds, and terrestrial animals",PRECLINICAL
Hit-to-Lead High-Throughput Screening (HTS),"Development of robust, scalable assays for efficient hit identification",PRECLINICAL
Regulatory Toxicology,"Design and conduct of studies to meet the requirements of regulatory agencies like FDA, EMA, and EPA",BOTH
Electron Crystallography,Analysis of two-dimensional crystals for membrane proteins and large complexes,PRECLINICAL
Exposomics,,PRECLINICAL
In Vivo Immune Tolerance,In vivo models to study mechanisms of immune tolerance,PRECLINICAL
Splicing Analysis,Splicing analysis examines the process by which introns are removed and exons are joined in RNA to understand how different mRNA variants are generated.,PRECLINICAL
Soil and Sediment Analysis,"Testing for contaminants like heavy metals, pesticides, and hydrocarbons in soil and sediment",BOTH
Bone and Soft Tissue Pathology,Specialized techniques for musculoskeletal tissues,BOTH
Affinity Proteomics,Affinity capture assays to isolate and study proteins or protein complexes,PRECLINICAL
Esterification,,PRECLINICAL
Halogenation (Fluorination),,PRECLINICAL
Hydrogenation,,PRECLINICAL
Acylation,,PRECLINICAL
Carboxylation,,PRECLINICAL
Oxidation,,PRECLINICAL
Cell Immortalization,,PRECLINICAL
Cell-Based Assays,"Development and validation of in vitro assays for drug screening and toxicity testing, apoptosis, proliferation, migration, invasion, and angiogenesis",PRECLINICAL
Protein Expression,"Expression of recombinant proteins in bacterial, yeast, insect, mammalian, or cell-free systems, including scale up",PRECLINICAL
Spatial Proteomics,,PRECLINICAL
Metabolic Pathway Analysis,Mapping of metabolomic data onto metabolic pathways to understand biological mechanisms,PRECLINICAL
Monoclonal Antibody Production,Generation of antibodies derived from a unique cell and targeting a single epitope on an antigen,PRECLINICAL
Botulinum NeuroToxin Test,,CLINICAL
X-ray Photoelectron Spectroscopy (XPS),,PRECLINICAL
X-ray Diffraction (XRD),,PRECLINICAL
Immunofluorescence (IF),For visualizing the location and distribution of specific proteins within tissue sections,PRECLINICAL
Peptide Chemistry,Synthesis and modification of peptides and peptide mimics for therapeutic applications,PRECLINICAL
Stem Cell Therapy Development,Development of stem cell therapies and protocols for clinical applications,BOTH
Elemental Analysis,Determining the elemental composition of materials for quality control and regulatory compliance,BOTH
Drug-Target Interaction Studies,Measuring the direct interaction between identified compounds and their target proteins,BOTH
Lipidomics,Specific focus on the analysis and characterization of the lipid components of cells and tissues,PRECLINICAL
Circular Dichroism (CD),Analysis of protein stability and folding,PRECLINICAL
Neuroimmunology,Research on the role of the immune system in neurological disorders,PRECLINICAL
Stem Cell Toxicity,,PRECLINICAL
Inhalation Toxicology,,PRECLINICAL
Local Tolerance,,PRECLINICAL
X-Ray Radiography (XRR),,PRECLINICAL
Metabolite-Trait Associations,Studying correlations between specific metabolites and phenotypic traits or disease states.,PRECLINICAL
Dermatological In Vitro Testing,,PRECLINICAL
Mechanical Product Design,,PRECLINICAL
Water Quality Testing,"Analysis of water samples for pollutants, microbial contamination, and chemical composition; assessing drinking water, wastewater, and surface water for environmental compliance",BOTH
Lipid Nanoparticle Formulation,"The creation of lipid-based nanoparticles for drug delivery systems, such as mRNA vaccines, emphasizing the development of stable, biocompatible, and effective carriers for encapsulating and delivering therapeutic agents.",BOTH
Labeling and Serialization,"The development and implementation of labeling strategies and serialization systems to ensure accurate product identification, traceability, and compliance with regulatory requirements, including unique codes for tracking and preventing counterfeiting.",CLINICAL
Medical Imaging Analysis,,CLINICAL
Antimicrobial Susceptibility Testing,"Microdilution, disk diffusion, E-test, and MIC determination",PRECLINICAL
Phage Display Library Screening,Selection of antibodies from pre-existing phage display libraries targeting specific antigens,PRECLINICAL
Single-Particle Cryo-Electron Microscopy (Cryo-EM),Sample preparation and single-particle analysis for high-resolution structure determination,PRECLINICAL
Environmental Risk Assessment,Predictive modeling and risk analysis for ecological and human health impacts of chemicals and industrial activities,BOTH
User Research in Product Design,,BOTH
Dental and Oral Care,,CLINICAL
Neuronal Cell Culture,"Neuronal cell culture; assays for neurotoxicity, synaptic function, and neuroinflammation",PRECLINICAL
Particle Size Distribution (PSD),,PRECLINICAL
Enzyme Activity Assays,Analysis of enzyme kinetics,PRECLINICAL
Industrial Product Design,,PRECLINICAL
Ferrets,,PRECLINICAL
Liver Disease Model,,PRECLINICAL
Ageing,,PRECLINICAL
Assessment of Medical Devices,,BOTH
Controlled Release Formulations,"The development of drug formulations designed to release active ingredients at a controlled rate over time, enhancing therapeutic effectiveness, reducing dosing frequency, and improving patient compliance.",BOTH
Differential Scanning Calorimetry (DSC),"Measurement of heat flow associated with phase transitions in biomolecules to study protein folding, stability, and ligand binding effects",PRECLINICAL
Inflammation Models,In vitro and in vivo models for studying autoimmune diseases,PRECLINICAL
Epitranscriptomics,"Study of RNA modifications, their impact on gene expression and role in disease and development",PRECLINICAL
Nutraceutical Clinical Trials,Design and execution of clinical studies to evaluate the health benefits and safety of nutraceutical products,CLINICAL
Medical Device Prototype Development,"Creating a tangible, working model of a potential medical device to test its feasibility, function, and marketability",PRECLINICAL
Raw Material Testing,"The analysis of raw materials used in manufacturing to ensure they meet quality and safety standards, verifying their identity, purity, and compliance with specifications before use in production.",BOTH
Clinical Trial Consulting Services,"Expert advice on R&D strategy, trial design, regulatory compliance, and therapeutic areas.",CLINICAL
BSL-2 and BSL-3 Laboratory Capabilities,For handling and testing potentially hazardous microorganisms,PRECLINICAL
Interventional Radiology Models,,PRECLINICAL
Pesticide and Insecticide Testing,,PRECLINICAL
Biological Tissue Analysis (BIOTA),,PRECLINICAL
Plasma Protein Binding Assays,"Determining the fraction of drug bound to plasma proteins, impacting distribution",PRECLINICAL
Toxicokinetics,Assessment of systemic exposure to a drug and its correlation with toxicological findings,PRECLINICAL
Patient PK and Clinical Endpoint Studies,,CLINICAL
Circulating Tumour Cell (CTC) Diagnostic,,CLINICAL
DNA Extraction,"Isolating DNA from various biological samples, such as blood, tissue, or cells, to obtain pure DNA for downstream applications like sequencing, cloning, or analysis.",BOTH
Autoimmunity and Serology Profiling,,CLINICAL
Electrical Components Analysis,,BOTH
Biocompatibility Testing of Medical Devices,"For medical devices, assessing the compatibility of materials with biological systems to ensure they are safe for their intended use.",PRECLINICAL
Hybridoma Generation and Screening,"Fusion of B cells with myeloma cells to produce hybridomas, followed by screening for specific antibody production",PRECLINICAL
Petrochemical Analysis,,BOTH
Encapsulation Technologies,"The techniques used to enclose active ingredients or sensitive compounds within a protective shell or matrix, aiming to improve stability, control release, and target delivery of pharmaceuticals, nutraceuticals, or other substances.",BOTH
Corrosion and Abrasion Testing,,BOTH
Metallography Testing,,BOTH
Carbohydrate Analysis,,BOTH
Sialic Acid Analysis,,BOTH
Nitrosamines Analysis,,BOTH
In Vitro Cell Therapy Studies,,PRECLINICAL
Polymer Synthesis,"Creating custom polymers for various applications, including materials science and biotechnology",PRECLINICAL
Quantitative Proteomics,Measuring and comparing the quantities of proteins in different samples to study cellular processes and disease states.,PRECLINICAL
Gene Therapy Off Target Effect Analysis,Identifying and assessing unintended genomic modifications that occur outside the target site during gene therapy,BOTH
Market Access Services,,BOTH
Innate Immunity Animal Models,"These are animal models used to study the innate immune system, the body's first line of defense against infection, through genetically or experimentally modified organisms.",PRECLINICAL
Electron Paramagnetic Resonance (EPR)/Electron Spin Resonance (ESR),,PRECLINICAL
Periodontitis Model,,PRECLINICAL
Microbiological Testing of Nutraceuticals,"Testing for pathogens, spoilage organisms, and microbial contaminants in nutraceutical products",CLINICAL
Target Testing with Disease Models,Testing the efficacy of candidate drugs using relevant animal models,PRECLINICAL
Dermatological In Vivo Testing,,PRECLINICAL
Aptamer Engineering,,PRECLINICAL
DNA Pooled and Arried Library Services,,PRECLINICAL
Antibody Isotype switching,,PRECLINICAL
Human Antibody Discovery from Serum,,PRECLINICAL
Nanobody Production,"Generation of single-domain antibodies, typically from camelids",PRECLINICAL
Hygroscopicity Evaluation,,BOTH
Elemental Analysis,,BOTH
Extractables and Leachables Studies,,BOTH
Discriminating Dissolution Method Development,,BOTH
Residual Solvent Analysis,,BOTH
APIs Crystallization Process Development,,BOTH
Pre-clinical and CMC,,CLINICAL
APIs Solid Form Screening and Selection,,BOTH
Thermo-Physical Measurement,,BOTH
Solubility Profiling and Enhancement,Solid Dispersion Techniques: Utilizing carriers to increase the solubility of poorly soluble drugs.Cyclodextrin Complexation: Using cyclodextrins to enhance solubility and stability.Micronization: Reducing particle size to improve solubility and dissolution rate.,BOTH
Rare Disease,,CLINICAL
Bioinformatics for Biomarker Analysis,"Use of computational tools to analyze large datasets from genomics, proteomics, and metabolomics studies",BOTH
"Custom Buffers, Solutions and Reagents Manufacturing",,BOTH
Diabetic and Metabolic Models,,PRECLINICAL
Cytotoxicity Testing,In vitro cytotoxicity assays for evaluating drug safety.,BOTH
Rheumatology,,CLINICAL
Hormone Testing,,CLINICAL
Neurotransmitter Testing,,CLINICAL
Immune Cell Proliferation Assays,"Immune cell proliferation assays assess the rate of growth and division of immune cells, often used to evaluate immune responses or the effect of drugs on these cells.",BOTH
Whole Genome Sequencing,High-throughput sequencing of entire genomes; resequencing for variant identification,BOTH
Specialty Enzymes and Probiotics Manufacturing,,BOTH
"Custom CHO, Hybridoma and Insect Cells Media Manufacturing",,BOTH
"Flexographic printing, Film and Laminate Manufacturing",,BOTH
Molding and Processing,,BOTH
Modified Oligonucleotide Synthesis,"Modifications like fluorescent labeling, phosphorylation, and conjugation",BOTH
10X Genomics Provider,"Services utilizing 10X Genomics technology, including single-cell and spatial transcriptomics, to provide high-resolution insights into cellular diversity, gene expression, and tissue architecture.",PRECLINICAL
DNA Methylation Sequencing (Bisulfite Sequencing) Analysis,Evaluating DNA methylation patterns using bisulfite sequencing to understand gene expression regulation and epigenetic changes.,PRECLINICAL
Environmental Toxicology,Assessment of the impact of substances on the environment and wildlife,PRECLINICAL
Laser Microdissection and Pressure Catapulting (LMPC),For single-cell analysis,PRECLINICAL
Target Functional Assays,"For assessing the impact of target modulation on relevant cellular processes, including proliferation, migration, and signal transduction",PRECLINICAL
Pharmacovigilance,Monitoring drug safety in clinical trials,BOTH
Circulating tumor DNA (ctDNA) Diagnostic,,CLINICAL
Allergen Testing,"Diagnostic tests to identify specific allergens causing allergic reactions, often through skin prick tests or serum-specific IgE tests.",CLINICAL
Bilayer Formulations,,CLINICAL
Taste Masking,,CLINICAL
Container-Closure Compatibility Studies,,CLINICAL
Lateral Flow Assay (LFA) Test Manufacturing,,BOTH
Contaminant Testing,"The detection and analysis of harmful substances, such as heavy metals, pathogens, or industrial chemicals, in food products to ensure they are safe for consumption.",BOTH
Stability Testing,"The evaluation of a product's stability over time under various environmental conditions to ensure it maintains its quality, efficacy, and safety throughout its shelf life.",BOTH
Industrial Hygiene Testing,"The assessment of workplace environments to identify and measure exposure to hazardous substances, ensuring compliance with safety standards and protecting worker health.",BOTH
Extractables and Leachables (E&L) Studies,Evaluating potential interactions between drug products and packaging materials,BOTH
Antibody-Drug Conjugate (ADC) Production,"Design and engineering of ADCs with optimal antibody selectivity, linker stability, and drug payload potency, with cell culture, and purification processes",BOTH
Small RNA and Non-Coding RNA Sequencing,"Sequencing, analysis, and study of small RNAs, such as miRNAs, siRNAs, piRNAs, and lncRNAs",PRECLINICAL
Electrophysiology,"Patch-clamp, multi-electrode array (MEA), and EEG studies for neuronal activity analysis",PRECLINICAL
Neurotoxicology for Neuroscience Studies,Assessment of neurotoxic effects of compounds and environmental factors,PRECLINICAL
Scanning Electron Microscopy (SEM),"For producing detailed, magnified images to determine composition and physical features",PRECLINICAL
Bacterial Fermentation and Bioprocessing,Development and validation of bacterial fermentation processes for the production of bioproducts,PRECLINICAL
Urogenital Disease Models,"Research focused on pharmacological interventions and therapeutic approaches for diseases affecting the urogenital system, including urinary tract infections and reproductive disorders.",PRECLINICAL
Chemical Optimization,Optimization of synthetic routes for efficient production of lead compounds,PRECLINICAL
Large-Scale API Synthesis,Synthesizing chemicals and scaling up production for larger studies or preclinical testing.,PRECLINICAL
Engineered Fc Domains,,PRECLINICAL
Radiochemistry,"A crucial part of radiopharmaceutical development, involving the chemical processes to incorporate radioisotopes into pharmaceutical compounds.",PRECLINICAL
Anti-Idiotype Antibody Development,,PRECLINICAL
Mass Spectrometer Equipment Manufacturing,,BOTH
Skin Microbiome Analysis,Examination and characterization of the microbial communities residing on the skin,BOTH
Bacteriophages Development and Manufacturing,,BOTH
Ophthalmic Products,,CLINICAL
Residual Solvents Testing,,CLINICAL
Human Plasma-Derived Products Manufacturing,,CLINICAL
Food Allergen Testing,,BOTH
Particle Sizing,,BOTH
Inhalable Product Development and Testing,Determination of Aerodynamic Particle Size Distribution (APSD) and Delivered Dose (DD) for Dry Powder Inhalers (DPI) and Metered Dose Inhalers (MDI). Inhalation toxocology,BOTH
Granule Products,,BOTH
Sprays Products,,BOTH
Reverse Engineering,,BOTH
Patches Products,,BOTH
Heterocyclic Chemistry,,PRECLINICAL
Metabolites Synthesis,,PRECLINICAL
Nasal Dosage Products,,BOTH
Parenteral Dosage Products,,BOTH
Custom Purification and Separation,,BOTH
Reference Standard Synthesis,"Production of high-purity chemical standards used as benchmarks in analytical testing, ensuring the accuracy, reliability, and consistency of experimental results and quality control processes.",PRECLINICAL
Organoboronic Acids and Derivatives,,PRECLINICAL
Combinatorial Chemistry,Creation of large libraries of compounds for high-throughput screening,PRECLINICAL
Petrochemicals Synthesis,,BOTH
Glucuronides,,BOTH
Mammalian Cell Culture,,PRECLINICAL
Cell Proliferation Assay,,PRECLINICAL
Cell Migration and Invasion Assay,,PRECLINICAL
Extracellular Vesicle (EV) Transcriptomics,,PRECLINICAL
Glycosylation Analysis,,PRECLINICAL
UTI (Urinary Tract Infection) Screening,"Diagnostic tests to detect bacterial infections in the urinary tract, often using urine culture or rapid test methods to identify pathogens and guide treatment.",CLINICAL
Viral Load Testing,"Measurement of the amount of viral RNA or DNA in a patient's sample, used to monitor the progression of viral infections and the effectiveness of antiviral treatments.",CLINICAL
Neurodevelopmental Studies,Research on the development of the nervous system and neurodevelopmental disorders,PRECLINICAL
ADMET Optimization,"Optimization of absorption, distribution, metabolism, excretion, and toxicity properties of drug candidates",PRECLINICAL
Endotoxin and Pyrogen Testing,"Methods to detect endotoxins and pyrogens in pharmaceuticals and biologics, ensuring products are free from fever-causing contaminants and meet safety standards.",CLINICAL
Documentation and Batch Record Review,The examination of production documentation and batch records to verify that manufacturing processes are properly documented and that products are manufactured in accordance with established procedures and regulatory requirements.,BOTH
Training and Consultancy,,PRECLINICAL
Recombinant Antibody Production,,PRECLINICAL
Human Leukocyte Antigen (HLA) Genotyping,,CLINICAL
Tablet Compression,,CLINICAL
"Inventory Storage, Management, and Distribution",,CLINICAL
Behavioral Animal Models,"For studying the effects of drugs on animal behavior, often in the context of neurological or psychiatric conditions.",PRECLINICAL
Green Chemistry,Development of environmentally friendly synthesis routes,BOTH
Amplicon Sequencing,"A targeted sequencing method that amplifies specific regions of DNA through PCR, allowing for detailed analysis of genetic variations and mutations within those regions for research and clinical applications.",BOTH
Life Science Products Manufacturing,,BOTH
Industrial Machinery Manufacturing,,BOTH
mRNA Products Manufacturing,,BOTH
Plant Growth Media and Reagents,,BOTH
Multiplexed Tissue Analysis,,BOTH
Cytokine Release Assays,Cytokine release assays measure the amount of cytokines released by cells in response to a stimulus or treatment.,BOTH
Stable Cell Line Development and Characterization,"Creation of stable cell lines for research and bioproduction and characterization for phenotype, genotype, and functional properties.",BOTH
Molecular Pathology,"PCR and other molecular techniques for detecting genetic mutations, translocations, and expression levels",BOTH
Site-Directed Mutagenesis,"Making specific and intentional changes to the DNA sequence of a gene, allowing researchers to study the effects of these mutations on protein function and gene expression.",PRECLINICAL
Long Read Sequencing/Single Molecule Sequencing (SMS),"Advanced sequencing technologies that read long stretches of DNA or RNA molecules in a single pass, offering improved accuracy in detecting structural variants, repetitive regions, and complex genomic features.",PRECLINICAL
Hydrogen-Deuterium Exchange (HDX) Mass Spectrometry,Studying protein dynamics and interactions,PRECLINICAL
Optogenetics,"A technique that uses light to control cells within living tissue that have been genetically modified to express light-sensitive ion channels, enabling precise manipulation of neuronal activity for studying brain function and behavior.",PRECLINICAL
Drug Neurotoxicology Analysis,Evaluations of adverse effects of chemical and biological agents on the nervous system,PRECLINICAL
Chemoinformatics,"Use of in silico methods for compound screening, modeling, and prediction of ADMET properties",PRECLINICAL
Toxicology Animal Models,Acute and chronic toxicity studies in animals to assess the safety of potential pharmaceuticals,BOTH
Dispensing,,CLINICAL
Gastrointestinal Disease Models,"Research into drug development, mechanisms, and treatment strategies for diseases affecting the gastrointestinal system, such as inflammatory bowel disease and gastrointestinal cancers.",PRECLINICAL
Rodent Models,The most commonly used animals for studying disease and testing drugs.,PRECLINICAL
Tissue Engineering,"Developmenet of biological substitutes that restore, maintain, or improve tissue function",BOTH
Analysis of Cytokine Networks,Analysis of cytokine networks refers to studying the interactions and regulatory mechanisms among different cytokines in a system.,BOTH
Hit Identification,Identification of active compounds from high-throughput screening (HTS) campaigns,PRECLINICAL
Genetic and Genomic Biomarkers,"Analysis of genetic variants, gene expression patterns, and epigenetic modifications as biomarkers",BOTH
Greenhouse Gas Assessments,Comprehensive evaluations of the sources and amounts of greenhouse gas emissions associated with a specific entity or activity,BOTH
Oncology and Cancer Biology Cell Line Development,"Cancer cell line development and maintenance; assays for studying cancer cell proliferation, survival, metastasis, and drug resistance",PRECLINICAL
Gene Editing of Immune Cells,Techniques like CRISPR/Cas9 for modifying immune cells,PRECLINICAL
"Animal Models for Depression, Anxiety, Schizophrenia","Experimental animal models used to study the underlying mechanisms, behavioral manifestations, and potential treatments for mental health disorders such as depression, anxiety, and schizophrenia",PRECLINICAL
Dynamic Light Scattering (DLS),"A technique used to measure the size distribution and stability of particles in a solution, such as proteins, nanoparticles, and polymers, by analyzing the scattering of light caused by their Brownian motion.",PRECLINICAL
Thin layer chromatography (TLC),"Analytical technique used to separate and identify compounds in a mixture, involving the movement of a solvent across a thin layer of adsorbent material, such as silica gel, on a glass or plastic plate.",PRECLINICAL
"Potency Assays (e.g., Cell-Based Assays)","Tests designed to measure the biological activity and effectiveness of therapeutics, often using living cells to evaluate the potency and functionality of drugs or vaccines.",BOTH
Polyclonal Antibody Production,Generation of antibodies targeting multiple epitopes on an antigen,PRECLINICAL
In Situ Hybridization (ISH),Detection and localization of specific nucleic acid sequences directly within tissue sections,BOTH
Protein Detection,"E.g, Western blot, ELISA, Flow Cytometry",BOTH
Fuel Analysis,,BOTH
Custom API Synthesis,"The tailored production of active pharmaceutical ingredients based on specific client requirements, including unique chemical structures, quantities, and quality standards.",BOTH
Aseptic Processing,The production method that maintains sterile conditions throughout the manufacturing process to ensure that the final drug product is free from microbial contamination.,BOTH
Plastic Manufacturing,,BOTH
Neurotoxicity,,PRECLINICAL
Cell Culture,Primary cell culture and cell line development for various cell types; 3D cell culture systems,PRECLINICAL
Pharmacometabolomics,Analysis of metabolite profiles in response to drug treatment,BOTH
Transcriptomics Data Analysis,Analysis of RNA-Seq data for differential gene expression,PRECLINICAL
Oncology,,CLINICAL
Behavioral Testing,"Studies for cognitive function, executive function, mood assessment",PRECLINICAL
Histopathology,Microscopic examination of tissue samples to analyze structure and identify abnormalities,CLINICAL
Clinical Data Management,"Collection, cleaning, and management of clinical trial data, ensuring accuracy and integrity using electronic data capture (EDC) systems.",CLINICAL
Pathway Engineering,"Design and optimization of metabolic pathways for the production of pharmaceuticals, biofuels, and industrial chemicals",PRECLINICAL
Antibody Humanization,"The modification of non-human antibodies to make them more similar to human antibodies, reducing the risk of immune reactions and improving their efficacy and safety for therapeutic use in humans.",PRECLINICAL
In Vivo Gene Therapy Studies,Evaluating the efficacy and safety of the gene therapy candidate in animal models,PRECLINICAL
In Vitro Preclinical Studies for Nutraceuticals,In vitro studies for toxicology assessments and mechanism of action of nutraceutical ingredients,PRECLINICAL
T Cell Receptor (TCR) Profiling,"Analyzing the diversity and specificity of T cell receptors within a sample, providing insights into the immune repertoire, immune response, and potential targets for immunotherapy.",BOTH
Toxicogenomics,Study of how genetic variations influence individual responses to toxicants,PRECLINICAL
Novel Compound Synthesis,"Custom synthesis of small molecules, including complex organic compounds",PRECLINICAL
Flow Cytometry of Immune Cells,For immune cell phenotyping and sorting,BOTH
Plasmid DNA Manufacturing,Production of high-quality plasmid DNA encoding the therapeutic gene for vector production,BOTH
Single-Cell Sequencing,Sequencing and analysis of individual cells for high-resolution genomic insights,PRECLINICAL
Sequence-based genotyping (SBG),,PRECLINICAL
Restriction site-associated DNA sequencing (RAD-Seq),,PRECLINICAL
Functional Analysis and Characterization of Therapeutic Proteins,"Comprehensive assessment of therapeutic proteins' biological activity, stability, and physicochemical properties to ensure their efficacy, safety, and quality for clinical use.",BOTH
High Resolution Imaging,For obtaining high resolution and depth of field images of a sample surface,PRECLINICAL
Metabolomics Data Analysis,"Interpreting complex data from the study of metabolites, the small molecule chemicals in biological systems.",PRECLINICAL
Machine Learning and Predictive Modeling,Application of machine learning algorithms for pattern recognition and predictive modeling,PRECLINICAL
Drug Optimization,Optimization of pharmacokinetic and pharmacodynamic properties of drug candidates,PRECLINICAL
Clinical Supply Chain Management,"Management of the logistics related to the clinical trial supplies, including drug procurement, storage, and distribution.",CLINICAL
cDNA synthesis,"The process of synthesizing complementary DNA (cDNA) from an RNA template using reverse transcription, providing a stable and amplifiable copy of the RNA for various molecular biology applications such as cloning and gene expression analysis.",BOTH
Skin Toxicity,,PRECLINICAL
Intestinal Toxicity,,PRECLINICAL
Physiochemical Property Testing,"Including Thermal Gravimetric Analysis (TGA), Mercury Porosimetry (HgP), Surface Area & Porosity (BET), Melting Point (MP), Flash Point (FP), Coupon Corrosivity (CORR), Viscosity (VISC), Laser Light Scattering (LLS), Dynamic Vapor Sorption (DVS)",BOTH
Spatial Transcriptomics,"A technique that combines histology and RNA sequencing to map gene expression within the spatial context of tissue sections, providing insights into cellular functions and interactions in their native environment.",PRECLINICAL
Transcriptome Assembly,Transcriptome assembly involves piecing together sequences of RNA transcripts to study the full range of expressed genes in a cell or organism.,PRECLINICAL
Stroke and Cerebral Ischemia Animal Models,"Experimental animal models used to study the mechanisms, progression, and potential treatments for stroke and cerebral ischemia",PRECLINICAL
Precision-Cut Tissue Slices,Tissue slices maintained in a way that preserves their physiological function for studying drug metabolism and toxicity.,PRECLINICAL
API Scale-Up Synthesis,Process and technology transfer from lab scale to pilot and production scale,PRECLINICAL
Hereditary Cancer Screening,,CLINICAL
Clinical Packaging and Labeling,"The design, production, and labeling of packaging for clinical trial materials, ensuring that packaging meets regulatory requirements, maintains product integrity, and provides clear, accurate information for trial participants and staff.",CLINICAL
Genomic Data Analysis,"Analysis of data from whole-genome sequencing, exome sequencing, and targeted sequencing",PRECLINICAL
Immune Cell Isolation,"The process of separating specific immune cell types, such as peripheral blood mononuclear cells (PBMCs), T cells, B cells, and natural killer (NK) cells, from a heterogeneous cell population",BOTH
FFPE Block Embedding,"The technique of embedding formalin-fixed, paraffin-embedded (FFPE) tissue samples into paraffin blocks, which preserves the tissue architecture and allows for long-term storage and subsequent histological analysis.",BOTH
Nutraceutical Safety Testing,"The assessment of the safety and efficacy of nutraceuticals through rigorous testing protocols, including toxicity studies, quality control, and regulatory compliance",BOTH
Gene Therapy Vector Design and Development,"Selection of appropriate vector type (e.g., AAV, lentivirus) and engineering for optimal delivery and expression of the therapeutic gene",BOTH
Chemical Synthesis Scale-Up,"For research or industrial applications, from laboratory to pilot and production scale",PRECLINICAL
Near Infrared (NIR) and Ultraviolet / Visible (UV-VIS) Spectroscopy,"Analytical techniques that measure the absorption or reflectance of NIR and UV-VIS light by a sample, providing information on molecular composition, structure, and concentration.",PRECLINICAL
Gastro-intestinal pathology,"The study and diagnosis of diseases affecting the gastrointestinal tract, involving the examination of tissue samples, endoscopic biopsies, and surgical specimens to identify conditions such as inflammation, infections, cancer, and other digestive disorders.",CLINICAL
Oncology and Bone Model,,PRECLINICAL
Organ-on-a-Chip,"Microfluidic devices that simulate the activities, mechanics, and physiological response of entire organs and organ systems.",PRECLINICAL
Cardiovascular Models,,PRECLINICAL
Orthopaedics,,BOTH
Antibody Internalization Assays,Techniques used to evaluate the ability of antibodies to be internalized by target cells,PRECLINICAL
Antimicrobial Resistance Testing,Detrmination of the susceptibility or resistance of specifci bacteria or fungi to antibiotics,PRECLINICAL
Oligonucleotide Synthesis,Synthesis of DNA and RNA oligonucleotides for research and therapeutic applications,BOTH
Biocompatibility and Bioactivity Studies,Development and testing of materials for tissue scaffolds,BOTH
Chemokine Quantification and Profiling,Chemokine quantification and profiling are the measurement and analysis of various chemokines in a given biological sample.,BOTH
Protein Expression Analysis,Mass spectrometry and 2D-gel electrophoresis for protein identification and quantification,BOTH
Life Cycle Assessments (LCA),Assessing the environmental impact of products or processes over their entire life cycle,BOTH
Antibody Proteomics,Production and characterization of antibodies against specific proteins,PRECLINICAL
AI-Driven Drug Discovery,AI-driven drug discovery and precision medicine,PRECLINICAL
Regenerative Medicine (Neuroscience),Studies on stem cell therapy and neurogenesis,PRECLINICAL
